drift_type,seed,centroid,covariance,mmd,energy,tda_pe_h0,tda_pe_h1,tda_h0_total_persistence,tda_h1_total_persistence,tda_h0_max_lifetime,tda_h1_max_lifetime,tda_h1_n_features,tda_phd,tda_h0_mean_lifetime,tda_h0_std_lifetime,tda_wass_h0,tda_wass_h1,tda_bottleneck_h0
centroid_shift,42,2.9999999999999987,5.797935607196306e-16,0.21627535766394723,1.6222893252588495,1.8039708787220832e-05,0.007785596560744956,7.269155263900757,0.7622780799865723,0.0,0.05273914337158203,1,0.0018547262319915936,0.04878627693893156,0.0013184260009099225,7.415799379348755,5.656246457286496,0.13229727745056152
annulus,42,0.25980315830894296,4.699276818246063,0.07893296722272791,0.3460303273221652,0.0012825125840070228,3.148600996217075,444.72637617588043,21.816992163658142,3.5158724784851074,2.1125447750091553,171,0.01920017437314496,2.9847407797038956,0.1740982808068937,444.6384357959345,21.16044207187556,2.329972982406616
two_cluster,42,0.2735382895889862,4.293474549412921,0.04719988324856872,0.1593900271696711,0.0011956577857903383,0.37333496279425216,227.94663548469543,14.865743398666382,0.9430270195007324,0.11362743377685547,54,0.010737592547327604,1.5298431911724526,0.05435726043250705,227.94663548469543,26.07571721131589,1.7726740837097168
variance_change,42,0.8842715774349987,16.50981136704899,0.25626964531374574,2.369277432698617,0.00033854867854810067,0.055453232628287275,1155.0785064697266,48.10568046569824,8.95949125289917,0.5881907939910889,4,0.0057719606733722395,7.752204741407562,0.4306949247191607,1155.0785064697266,70.60323804678073,6.809718608856201
no_drift,42,0.2966861293414936,1.2673371374200826,0.0,-0.00709602682924082,0.0003103060278020209,0.211615180906211,17.354854822158813,7.978076457977295,0.20337390899658203,0.0882110595703125,46,0.004259813083608996,0.11647553571918667,0.010709022155381387,17.354854822158813,13.274090400544987,0.20337390899658203
centroid_shift,123,3.0000000000000004,4.683147866802996e-16,0.22004191474935564,1.6373782538872312,3.433106419414855e-05,0.17794655446157392,2.212162971496582,6.2834391593933105,0.058573246002197266,0.0,29,0.0013399709593830966,0.01484673135232617,0.002648055182446568,3.076655387878418,5.695889091767988,0.13279175758361816
annulus,123,0.299681213032276,4.559559701859207,0.07490951942441493,0.3450750562015976,0.002147097060661629,2.2275761323821035,431.41265654563904,11.460863888263702,3.266274333000183,1.9591702222824097,106,0.028872677829521104,2.8953869566821413,0.15824593984459123,431.29781842050426,15.162986369071525,2.2198708057403564
two_cluster,123,0.34106893632591245,4.013734786323364,0.043492324815352035,0.15701665947382715,0.0008762401032686995,0.1731380896716681,214.58614373207092,7.901608467102051,0.9645416736602783,0.30631089210510254,28,0.008049130917266986,1.440175461289067,0.059547654482319995,214.58614373207092,17.679760013349938,1.609978199005127
variance_change,123,0.6914187398459346,16.453750987449904,0.25737597802334844,2.37394563590421,0.00011105490661655892,0.2717117701437086,1161.096135854721,54.446176052093506,8.857678890228271,0.5306029319763184,37,0.0020258939280402427,7.792591515803497,0.5171324444732417,1161.096135854721,61.766301238831,6.648710250854492
no_drift,123,0.37206489452665437,1.2325477812716785,0.000325675068093112,0.0025943240778447674,1.8943461197906686e-05,0.23163609236557026,1.7315475940704346,7.177951097488403,0.2174510955810547,0.10972881317138672,41,0.00038061417774946926,0.01162112479241939,0.001802796080164898,6.0780298709869385,8.272477798374041,0.2575039863586426
