dataset,method,drift_type,window_size,seed,auc,detection_delay,fpr,runtime
ag_news,centroid,no_drift,200,42,,,0.5,1.5459389805793762
ag_news,covariance,no_drift,200,42,,,0.4,1.5459389805793762
ag_news,mmd,no_drift,200,42,,,0.0,1.5459389805793762
ag_news,knn,no_drift,200,42,,,0.1,1.5459389805793762
ag_news,energy,no_drift,200,42,,,0.0,1.5459389805793762
ag_news,tda_bottleneck_h0,no_drift,200,42,,,0.1,1.5459389805793762
ag_news,tda_h0_max_lifetime,no_drift,200,42,,,0.2,1.5459389805793762
ag_news,tda_h0_mean_lifetime,no_drift,200,42,,,0.0,1.5459389805793762
ag_news,tda_h0_std_lifetime,no_drift,200,42,,,0.2,1.5459389805793762
ag_news,tda_h0_total_persistence,no_drift,200,42,,,0.2,1.5459389805793762
ag_news,tda_h1_max_lifetime,no_drift,200,42,,,0.0,1.5459389805793762
ag_news,tda_h1_n_features,no_drift,200,42,,,0.2,1.5459389805793762
ag_news,tda_h1_total_persistence,no_drift,200,42,,,0.2,1.5459389805793762
ag_news,tda_pe_h0,no_drift,200,42,,,0.1,1.5459389805793762
ag_news,tda_pe_h1,no_drift,200,42,,,0.1,1.5459389805793762
ag_news,tda_phd,no_drift,200,42,,,0.4,1.5459389805793762
ag_news,tda_wass_h0,no_drift,200,42,,,0.1,1.5459389805793762
ag_news,tda_wass_h1,no_drift,200,42,,,0.2,1.5459389805793762
ag_news,centroid,no_drift,200,123,,,0.1,1.4968172430992126
ag_news,covariance,no_drift,200,123,,,0.2,1.4968172430992126
ag_news,mmd,no_drift,200,123,,,0.5,1.4968172430992126
ag_news,knn,no_drift,200,123,,,0.0,1.4968172430992126
ag_news,energy,no_drift,200,123,,,0.2,1.4968172430992126
ag_news,tda_bottleneck_h0,no_drift,200,123,,,0.2,1.4968172430992126
ag_news,tda_h0_max_lifetime,no_drift,200,123,,,0.3,1.4968172430992126
ag_news,tda_h0_mean_lifetime,no_drift,200,123,,,0.0,1.4968172430992126
ag_news,tda_h0_std_lifetime,no_drift,200,123,,,0.4,1.4968172430992126
ag_news,tda_h0_total_persistence,no_drift,200,123,,,0.0,1.4968172430992126
ag_news,tda_h1_max_lifetime,no_drift,200,123,,,0.4,1.4968172430992126
ag_news,tda_h1_n_features,no_drift,200,123,,,0.0,1.4968172430992126
ag_news,tda_h1_total_persistence,no_drift,200,123,,,0.2,1.4968172430992126
ag_news,tda_pe_h0,no_drift,200,123,,,0.0,1.4968172430992126
ag_news,tda_pe_h1,no_drift,200,123,,,0.1,1.4968172430992126
ag_news,tda_phd,no_drift,200,123,,,0.1,1.4968172430992126
ag_news,tda_wass_h0,no_drift,200,123,,,0.0,1.4968172430992126
ag_news,tda_wass_h1,no_drift,200,123,,,0.2,1.4968172430992126
ag_news,centroid,no_drift,200,456,,,0.8,1.3842969059944152
ag_news,covariance,no_drift,200,456,,,0.5,1.3842969059944152
ag_news,mmd,no_drift,200,456,,,0.4,1.3842969059944152
ag_news,knn,no_drift,200,456,,,0.3,1.3842969059944152
ag_news,energy,no_drift,200,456,,,0.6,1.3842969059944152
ag_news,tda_bottleneck_h0,no_drift,200,456,,,0.3,1.3842969059944152
ag_news,tda_h0_max_lifetime,no_drift,200,456,,,0.1,1.3842969059944152
ag_news,tda_h0_mean_lifetime,no_drift,200,456,,,0.0,1.3842969059944152
ag_news,tda_h0_std_lifetime,no_drift,200,456,,,0.0,1.3842969059944152
ag_news,tda_h0_total_persistence,no_drift,200,456,,,0.1,1.3842969059944152
ag_news,tda_h1_max_lifetime,no_drift,200,456,,,0.2,1.3842969059944152
ag_news,tda_h1_n_features,no_drift,200,456,,,0.1,1.3842969059944152
ag_news,tda_h1_total_persistence,no_drift,200,456,,,0.0,1.3842969059944152
ag_news,tda_pe_h0,no_drift,200,456,,,0.2,1.3842969059944152
ag_news,tda_pe_h1,no_drift,200,456,,,0.1,1.3842969059944152
ag_news,tda_phd,no_drift,200,456,,,0.1,1.3842969059944152
ag_news,tda_wass_h0,no_drift,200,456,,,0.2,1.3842969059944152
ag_news,tda_wass_h1,no_drift,200,456,,,0.3,1.3842969059944152
ag_news,centroid,no_drift,200,789,,,0.7,4.472987532615662
ag_news,covariance,no_drift,200,789,,,0.6,4.472987532615662
ag_news,mmd,no_drift,200,789,,,0.0,4.472987532615662
ag_news,knn,no_drift,200,789,,,0.2,4.472987532615662
ag_news,energy,no_drift,200,789,,,0.2,4.472987532615662
ag_news,tda_bottleneck_h0,no_drift,200,789,,,0.1,4.472987532615662
ag_news,tda_h0_max_lifetime,no_drift,200,789,,,0.4,4.472987532615662
ag_news,tda_h0_mean_lifetime,no_drift,200,789,,,0.0,4.472987532615662
ag_news,tda_h0_std_lifetime,no_drift,200,789,,,0.0,4.472987532615662
ag_news,tda_h0_total_persistence,no_drift,200,789,,,0.0,4.472987532615662
ag_news,tda_h1_max_lifetime,no_drift,200,789,,,0.0,4.472987532615662
ag_news,tda_h1_n_features,no_drift,200,789,,,0.2,4.472987532615662
ag_news,tda_h1_total_persistence,no_drift,200,789,,,0.1,4.472987532615662
ag_news,tda_pe_h0,no_drift,200,789,,,0.0,4.472987532615662
ag_news,tda_pe_h1,no_drift,200,789,,,0.2,4.472987532615662
ag_news,tda_phd,no_drift,200,789,,,0.1,4.472987532615662
ag_news,tda_wass_h0,no_drift,200,789,,,0.1,4.472987532615662
ag_news,tda_wass_h1,no_drift,200,789,,,0.0,4.472987532615662
ag_news,centroid,no_drift,200,1011,,,0.5,1.5369115471839905
ag_news,covariance,no_drift,200,1011,,,0.9,1.5369115471839905
ag_news,mmd,no_drift,200,1011,,,0.1,1.5369115471839905
ag_news,knn,no_drift,200,1011,,,0.2,1.5369115471839905
ag_news,energy,no_drift,200,1011,,,0.0,1.5369115471839905
ag_news,tda_bottleneck_h0,no_drift,200,1011,,,0.1,1.5369115471839905
ag_news,tda_h0_max_lifetime,no_drift,200,1011,,,0.5,1.5369115471839905
ag_news,tda_h0_mean_lifetime,no_drift,200,1011,,,0.1,1.5369115471839905
ag_news,tda_h0_std_lifetime,no_drift,200,1011,,,0.0,1.5369115471839905
ag_news,tda_h0_total_persistence,no_drift,200,1011,,,0.0,1.5369115471839905
ag_news,tda_h1_max_lifetime,no_drift,200,1011,,,0.1,1.5369115471839905
ag_news,tda_h1_n_features,no_drift,200,1011,,,0.1,1.5369115471839905
ag_news,tda_h1_total_persistence,no_drift,200,1011,,,0.0,1.5369115471839905
ag_news,tda_pe_h0,no_drift,200,1011,,,0.1,1.5369115471839905
ag_news,tda_pe_h1,no_drift,200,1011,,,0.2,1.5369115471839905
ag_news,tda_phd,no_drift,200,1011,,,0.1,1.5369115471839905
ag_news,tda_wass_h0,no_drift,200,1011,,,0.0,1.5369115471839905
ag_news,tda_wass_h1,no_drift,200,1011,,,0.0,1.5369115471839905
ag_news,centroid,abrupt_topic,200,42,1.0,0.0,0.1,13.10686172246933
ag_news,covariance,abrupt_topic,200,42,1.0,0.0,0.1,13.10686172246933
ag_news,mmd,abrupt_topic,200,42,1.0,0.0,0.1,13.10686172246933
ag_news,knn,abrupt_topic,200,42,0.95,0.0,0.1,13.10686172246933
ag_news,energy,abrupt_topic,200,42,1.0,0.0,0.1,13.10686172246933
ag_news,tda_bottleneck_h0,abrupt_topic,200,42,0.73,3.0,0.1,13.10686172246933
ag_news,tda_h0_max_lifetime,abrupt_topic,200,42,0.71,0.0,0.1,13.10686172246933
ag_news,tda_h0_mean_lifetime,abrupt_topic,200,42,0.5700000000000001,10.0,0.1,13.10686172246933
ag_news,tda_h0_std_lifetime,abrupt_topic,200,42,0.8499999999999999,1.0,0.1,13.10686172246933
ag_news,tda_h0_total_persistence,abrupt_topic,200,42,0.31,10.0,0.1,13.10686172246933
ag_news,tda_h1_max_lifetime,abrupt_topic,200,42,0.57,1.0,0.1,13.10686172246933
ag_news,tda_h1_n_features,abrupt_topic,200,42,0.845,2.0,0.1,13.10686172246933
ag_news,tda_h1_total_persistence,abrupt_topic,200,42,0.97,0.0,0.1,13.10686172246933
ag_news,tda_pe_h0,abrupt_topic,200,42,0.67,3.0,0.1,13.10686172246933
ag_news,tda_pe_h1,abrupt_topic,200,42,0.74,3.0,0.1,13.10686172246933
ag_news,tda_phd,abrupt_topic,200,42,0.86,1.0,0.1,13.10686172246933
ag_news,tda_wass_h0,abrupt_topic,200,42,0.99,0.0,0.1,13.10686172246933
ag_news,tda_wass_h1,abrupt_topic,200,42,1.0,0.0,0.1,13.10686172246933
ag_news,centroid,abrupt_topic,200,123,1.0,0.0,0.1,1.3494149327278138
ag_news,covariance,abrupt_topic,200,123,1.0,0.0,0.1,1.3494149327278138
ag_news,mmd,abrupt_topic,200,123,1.0,0.0,0.1,1.3494149327278138
ag_news,knn,abrupt_topic,200,123,0.45,10.0,0.1,1.3494149327278138
ag_news,energy,abrupt_topic,200,123,1.0,0.0,0.1,1.3494149327278138
ag_news,tda_bottleneck_h0,abrupt_topic,200,123,0.5900000000000001,4.0,0.0,1.3494149327278138
ag_news,tda_h0_max_lifetime,abrupt_topic,200,123,0.82,0.0,0.1,1.3494149327278138
ag_news,tda_h0_mean_lifetime,abrupt_topic,200,123,0.24,10.0,0.1,1.3494149327278138
ag_news,tda_h0_std_lifetime,abrupt_topic,200,123,0.6900000000000001,1.0,0.1,1.3494149327278138
ag_news,tda_h0_total_persistence,abrupt_topic,200,123,0.22,10.0,0.1,1.3494149327278138
ag_news,tda_h1_max_lifetime,abrupt_topic,200,123,0.95,0.0,0.1,1.3494149327278138
ag_news,tda_h1_n_features,abrupt_topic,200,123,0.59,8.0,0.1,1.3494149327278138
ag_news,tda_h1_total_persistence,abrupt_topic,200,123,0.9400000000000001,0.0,0.1,1.3494149327278138
ag_news,tda_pe_h0,abrupt_topic,200,123,0.49,4.0,0.1,1.3494149327278138
ag_news,tda_pe_h1,abrupt_topic,200,123,0.27,8.0,0.1,1.3494149327278138
ag_news,tda_phd,abrupt_topic,200,123,0.29,10.0,0.1,1.3494149327278138
ag_news,tda_wass_h0,abrupt_topic,200,123,0.8300000000000001,0.0,0.1,1.3494149327278138
ag_news,tda_wass_h1,abrupt_topic,200,123,1.0,0.0,0.1,1.3494149327278138
ag_news,centroid,abrupt_topic,200,456,1.0,0.0,0.1,1.4962245106697083
ag_news,covariance,abrupt_topic,200,456,1.0,0.0,0.1,1.4962245106697083
ag_news,mmd,abrupt_topic,200,456,1.0,0.0,0.1,1.4962245106697083
ag_news,knn,abrupt_topic,200,456,0.8600000000000001,0.0,0.1,1.4962245106697083
ag_news,energy,abrupt_topic,200,456,1.0,0.0,0.1,1.4962245106697083
ag_news,tda_bottleneck_h0,abrupt_topic,200,456,0.49500000000000005,6.0,0.1,1.4962245106697083
ag_news,tda_h0_max_lifetime,abrupt_topic,200,456,0.45000000000000007,10.0,0.1,1.4962245106697083
