scenario,seed,centroid,covariance,mmd,tda_h0_entropy,tda_h1_entropy,tda_h1_wasserstein,is_drift,rt_centroid,rt_cov,rt_mmd,rt_tda,rt_wass
no_drift,42,0.376517695232934,1.6620852310204577,0.01159502296510595,0.004396189771622261,0.1523493334518795,6.165336489295989,0,0.0002758502960205078,0.0016827583312988281,0.006743907928466797,0.017669677734375,0.0022776126861572266
no_drift,123,0.5292366146132437,1.4228519477515362,0.016534608226658865,0.0035454389568734257,0.04963921926998882,4.843249105119973,0,3.552436828613281e-05,0.00010824203491210938,0.001131296157836914,0.010012626647949219,0.0012905597686767578
no_drift,456,0.3888400996896087,1.3731421492964415,0.009959559206180857,0.008249803488107332,0.3960822507904367,6.364016645041195,0,3.314018249511719e-05,0.00010728836059570312,0.0013058185577392578,0.009135246276855469,0.001268148422241211
no_drift,789,0.4059036022534895,1.4983404645640088,0.011362739106898223,0.004628949894647683,0.1217373665905157,6.66978952198321,0,2.8133392333984375e-05,9.417533874511719e-05,0.0013298988342285156,0.008928775787353516,0.0012192726135253906
no_drift,1000,0.330504787565653,1.3012957139226788,0.00908079768029424,0.005149775816382096,0.05567932281195631,5.3008230710541095,0,3.075599670410156e-05,0.00010132789611816406,0.001440286636352539,0.010792016983032227,0.0012297630310058594
centroid_drift,42,3.201748656027511,1.6620852310204577,0.2990744208975755,0.004396189771622261,0.1523493334518795,6.165336489295989,1,3.7670135498046875e-05,0.00012540817260742188,0.0012784004211425781,0.009265422821044922,0.0011556148529052734
centroid_drift,123,3.044227561257807,1.4228519477515362,0.25260052155878276,0.0035454389568734257,0.04963921926998882,4.843249105119973,1,3.933906555175781e-05,0.00012612342834472656,0.0012705326080322266,0.010365009307861328,0.0011897087097167969
centroid_drift,456,3.2783954468149887,1.3731421492964415,0.3021680868426584,0.008249803488107332,0.3960822507904367,6.364016645041195,1,3.457069396972656e-05,0.00010609626770019531,0.0012507438659667969,0.009353876113891602,0.0013589859008789062
centroid_drift,789,3.1071050739449864,1.4983404645640088,0.26981799761647374,0.004628949894647683,0.1217373665905157,6.66978952198321,1,4.172325134277344e-05,0.00011086463928222656,0.0012564659118652344,0.009047269821166992,0.0012211799621582031
centroid_drift,1000,2.8612280334783082,1.3012957139226788,0.25063111289563145,0.005149775816382096,0.05567932281195631,5.3008230710541095,1,2.7894973754882812e-05,9.512901306152344e-05,0.0011813640594482422,0.009493350982666016,0.000980377197265625
loop_topology,42,0.29694284788325354,3.4694061583246656,0.09468294185056458,0.004780310593863746,1.947579062987455,12.56896602209297,1,2.9087066650390625e-05,0.00010538101196289062,0.0012073516845703125,0.010951995849609375,0.0004265308380126953
loop_topology,123,0.3741962946805086,2.825172940808447,0.09551407451995453,0.002546522679241825,1.7196388664456328,11.592630039740326,1,2.765655517578125e-05,0.00010251998901367188,0.0011475086212158203,0.014966249465942383,0.0004279613494873047
loop_topology,456,0.2549099398517492,3.2263340146123434,0.09241207513229321,0.00597981680546944,1.8255610571419305,9.18034183996843,1,2.7179718017578125e-05,8.916854858398438e-05,0.0012290477752685547,0.011056900024414062,0.00036644935607910156
loop_topology,789,0.3284823853211578,3.6956515370206358,0.10958173647465952,0.006376983498957323,2.041968045066234,13.476704627764303,1,2.7418136596679688e-05,9.202957153320312e-05,0.0012087821960449219,0.014104604721069336,0.00040531158447265625
loop_topology,1000,0.2835158537017733,3.093802797395878,0.09181370877824802,0.0012995030156739418,2.0362883614291585,12.624235336356621,1,2.6941299438476562e-05,8.821487426757812e-05,0.0011167526245117188,0.011794090270996094,0.0004260540008544922
split_topology,42,0.2718610653335899,3.0873537884393545,0.07780101969136899,0.007243543499089178,0.4296244628573258,13.927068263681107,1,2.9087066650390625e-05,9.679794311523438e-05,0.0011167526245117188,0.008316755294799805,0.00048351287841796875
split_topology,123,0.4414058591463738,2.400063924961171,0.07999804932133392,0.006345435385007647,0.4343716316966142,12.763161503768982,1,2.6941299438476562e-05,9.131431579589844e-05,0.0011937618255615234,0.009357690811157227,0.00043845176696777344
split_topology,456,0.26376333128449464,2.975591886693387,0.06775462392501275,0.006737518623502581,0.03056016155983965,11.42683003654956,1,2.6464462280273438e-05,8.845329284667969e-05,0.001219034194946289,0.008186101913452148,0.0004870891571044922
split_topology,789,0.2894882327961385,3.1656297017134856,0.08517817815211615,0.005702669689536144,0.008076390723270599,17.17322456184515,1,2.6464462280273438e-05,8.726119995117188e-05,0.0012049674987792969,0.00995326042175293,0.0005314350128173828
split_topology,1000,0.23880955584000235,2.908158072368336,0.06862732803469929,0.005521435343024628,0.3621153096748633,14.924109874976164,1,2.8133392333984375e-05,8.821487426757812e-05,0.0013043880462646484,0.009456396102905273,0.0006155967712402344
